contrast,left,right,noise_type,severity,metric,mean_paired_difference,sd_paired_difference,ci_low,ci_high
HBB_minus_HHB,HBB,HHB,clean,0.0,classification_ce,0.00586390495300293,0.008511270144406913,0.0004798233509063721,0.01323704719543457
HBB_minus_HHB,HBB,HHB,clean,0.0,system_reconstruction_mse,-0.0013770486778629067,0.00035498925704201105,-0.001633390210404688,-0.0010839008572636815
HBB_minus_HHB,HBB,HHB,clean,0.0,standardized_reconstruction_mse,-0.00125641448702131,0.0003432415343193984,-0.0015096106889296548,-0.0009692545610544632
HBB_minus_HHB,HBB,HHB,clean,0.0,representation_cosine,0.0,0.0,0.0,0.0
HBB_minus_HHB,HBB,HHB,clean,0.0,prediction_js_divergence,0.0,0.0,0.0,0.0
HBB_minus_HHB,HBB,HHB,clean,0.0,accuracy_absolute_degradation,0.0,0.0,0.0,0.0
HBB_minus_HHB,HBB,HHB,clean,0.0,accuracy_relative_degradation,0.0,0.0,0.0,0.0
HBB_minus_HHB,HBB,HHB,clean,0.0,macro_f1_absolute_degradation,0.0,0.0,0.0,0.0
HBB_minus_HHB,HBB,HHB,clean,0.0,system_reconstruction_mse_increase,0.0,0.0,0.0,0.0
HBB_minus_HHB,HBB,HHB,clean,0.0,standardized_reconstruction_mse_increase,0.0,0.0,0.0,0.0
HBB_minus_HHB,HBB,HHB,gaussian,0.1,accuracy,0.013060000000000026,0.017854775271618464,-0.00045999999999992716,0.026759999999999985
HBB_minus_HHB,HBB,HHB,gaussian,0.1,macro_f1,0.012162293976790783,0.016339016109321664,-0.0002992975735387704,0.024686509874515993
HBB_minus_HHB,HBB,HHB,gaussian,0.1,classification_ce,-0.05614635944366455,0.05286939384391845,-0.09984130859375,-0.016900908946990967
HBB_minus_HHB,HBB,HHB,gaussian,0.1,system_reconstruction_mse,-0.0028418380007451892,0.0003634581732204786,-0.0031145636466084698,-0.002573410816387254
HBB_minus_HHB,HBB,HHB,gaussian,0.1,standardized_reconstruction_mse,-0.0031515283513555716,0.0004319910443738802,-0.003494023916186118,-0.002809032786525026
HBB_minus_HHB,HBB,HHB,gaussian,0.1,representation_cosine,0.004308962821960449,0.001453231747421172,0.0033579587936401365,0.0055465221405029295
HBB_minus_HHB,HBB,HHB,gaussian,0.1,prediction_js_divergence,-0.011854606680572033,0.011620819321570403,-0.02176822703331709,-0.0035305364057421685
HBB_minus_HHB,HBB,HHB,gaussian,0.1,accuracy_absolute_degradation,-0.01654000000000002,0.01765539577579609,-0.03021999999999998,-0.003040000000000087
HBB_minus_HHB,HBB,HHB,gaussian,0.1,accuracy_relative_degradation,-0.017928584615925433,0.01921326424386155,-0.03281919215209552,-0.0032337187226048982
HBB_minus_HHB,HBB,HHB,gaussian,0.1,macro_f1_absolute_degradation,-0.015629721974752098,0.01608275579466135,-0.02801534954934153,-0.003672539712631817
HBB_minus_HHB,HBB,HHB,gaussian,0.1,system_reconstruction_mse_increase,-0.0014647893228822825,0.0006729765257329366,-0.0020147247993216226,-0.0009873403598824326
